country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Croatia,,,,,,,,,,,,,,,,,35,35,35,35,35,36,36,36,36,56,57,57,56,44,43,43,44,44,51,53,54,53,56,56,56,53,51,51
Cuba,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,39,40,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,30,29,35,32,34
Cyprus,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,64,64,64,64,64,64,64,64,64,64,64,66,66,66,63,63,63,63,61,57
Czech Republic,39,39,39,39,39,42,42,42,42,42,42,42,42,42,42,53,54,54,53,53,53,53,53,53,53,55,54,54,54,54,54,54,54,54,54,55,55,55,56,58,59,59,54,55
Denmark,97,97,97,97,97,97,97,97,97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,97,97,97,97,97,97,97,97,97,97,97,97,97,89,89,89,89
Dominican Republic,16,16,16,16,28,28,28,28,28,29,29,29,28,28,28,28,28,28,28,28,28,28,31,31,31,32,32,31,31,31,31,31,31,31,31,31,32,31,29,29,36,36,31,23
Ecuador,37,38,38,40,49,52,52,52,52,52,48,48,48,48,50,50,50,50,50,51,48,48,50,50,49,50,49,49,49,49,50,51,52,54,54,54,54,52,51,51,51,51,57,57
Egypt,38,38,38,38,38,30,30,29,29,28,29,29,29,29,29,19,19,19,19,21,14,14,14,14,14,14,13,13,13,13,13,13,14,14,14,14,31,33,32,33,23,23,22,24
El Salvador,31,31,31,31,32,38,38,38,38,33,33,33,33,33,38,38,38,41,42,42,42,42,42,42,42,42,42,42,42,38,37,37,37,38,43,43,43,43,48,49,49,48,46,36
Equatorial Guinea,4,4,4,4,4,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,22
Eritrea,,,,,,,,,,,,,,,,,,,52,52,52,52,52,52,52,52,43,41,41,41,41,41,41,41,41,39,40,39,39,39,39,36,37,36
Estonia,,,,,,,,,,,,,,,,,63,65,65,65,65,65,65,63,68,70,70,69,69,71,74,73,73,74,74,78,78,74,78,78,79,79,79,72
Ethiopia,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,42,42,42,42,40,40,40,40,40,40,40,40,40,40,40,40,42,42,41,41,41,41,40,40,40,43,47,47
Finland,78,78,78,78,78,78,78,78,78,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,82,82,81,81,81,81
France,70,70,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,70,70,70,70,70,72,72,72,72,72,72,72,73,73,73,74,74,74,74,74,74,74,74,73
Gabon,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,28,28,24,39,39,39,39,34,37
Gambia,49,47,46,46,46,46,45,45,45,45,45,45,45,45,45,45,45,45,45,42,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,34,34,34,36,57,53
Georgia,,,,,,,,,,,,,,,,,30,26,19,19,18,18,19,19,22,24,24,24,24,60,65,67,68,68,73,73,73,66,66,63,63,63,63,60
Germany,88,88,88,88,88,88,88,88,88,89,88,88,89,89,89,89,89,89,89,89,89,89,89,91,90,90,90,90,90,90,90,91,91,91,91,91,91,91,88,88,84,87,87,84
